"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3.D.2.b.iv.3.            Cana-de-açúcar, 143 , 142 , 148 , 134 , 160 , 166 , 192 , 215 , 228 , 226 , 235 , 245 , 258 , 275 , 293 , 304 , 362 , 438 , 596 , 715 , 793 , 872 , 898 , 990 , 965 ," 1,048 "," 1,089 "
3.D.2.b.iv.4.            Arroz, 89 , 114 , 120 , 122 , 126 , 135 , 104 , 100 , 93 , 141 , 134 , 122 , 125 , 124 , 159 , 158 , 138 , 133 , 145 , 152 , 135 , 162 , 139 , 141 , 146 , 148 , 127 
3.D.2.b.iv.5.            Feijão, 64 , 79 , 80 , 71 , 97 , 85 , 71 , 82 , 63 , 81 , 88 , 71 , 88 , 95 , 85 , 87 , 100 , 91 , 100 , 100 , 91 , 99 , 80 , 83 , 95 , 89 , 75 
3.D.2.b.iv.6.            Mandioca, 69 , 69 , 62 , 62 , 69 , 72 , 50 , 56 , 55 , 59 , 65 , 64 , 65 , 62 , 68 , 73 , 75 , 75 , 76 , 69 , 71 , 72 , 65 , 61 , 66 , 65 , 60 
3.D.2.b.iv.7.            Trigo, 32 , 31 , 29 , 23 , 22 , 16 , 34 , 26 , 24 , 26 , 18 , 35 , 33 , 64 , 61 , 49 , 26 , 43 , 63 , 53 , 65 , 60 , 46 , 60 , 66 , 58 , 72 
3.D.2.b.iv.8.            Pastagens," 2,012 "," 2,012 "," 2,012 "," 2,012 "," 2,012 "," 2,027 "," 2,072 "," 2,117 "," 2,162 "," 2,208 "," 2,253 "," 2,298 "," 2,344 "," 2,601 "," 2,609 "," 2,617 "," 2,612 "," 2,613 "," 2,614 "," 2,615 "," 2,616 "," 2,404 "," 2,404 "," 2,404 "," 2,404 "," 2,404 "," 2,404 "
3.D.2.b.iv.9.            Outras, 75 , 77 , 75 , 62 , 67 , 63 , 61 , 73 , 68 , 78 , 91 , 103 , 98 , 115 , 148 , 145 , 129 , 134 , 141 , 127 , 126 , 152 , 139 , 133 , 144 , 142 , 135 
3.D.2.b.v.         Mineralização de N associada a perda de C do solo, 203 , 203 , 203 , 203 , 203 , 203 , 203 , 203 , 203 , 203 , 203 , 203 , 203 , 349 , 349 , 349 , 349 , 349 , 349 , 349 , 349 , 291 , 291 , 291 , 291 , 291 , 291 
3.E.   Queima prescrita de savanas, NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE , NE 
3.F.   Queima de resíduos agrícolas," 1,696 "," 1,675 "," 1,710 "," 1,515 "," 1,787 "," 1,844 "," 1,812 "," 1,805 "," 1,855 "," 1,764 "," 1,630 "," 1,742 "," 1,854 "," 2,049 "," 2,119 "," 2,123 "," 2,280 "," 2,497 "," 2,419 "," 2,117 "," 1,871 "," 1,532 "," 1,248 "," 1,119 ", 973 , 590 , 509 
3.G.   Calagem," 9,141 "," 8,673 "," 7,344 "," 9,371 "," 9,741 "," 5,845 "," 7,444 "," 8,132 "," 7,691 "," 7,295 "," 9,444 "," 8,617 "," 10,623 "," 12,614 "," 12,546 "," 8,097 "," 8,032 "," 10,563 "," 11,427 "," 9,094 "," 11,292 "," 13,992 "," 16,179 "," 15,955 "," 16,863 "," 14,606 "," 15,844 "
3.H.   Aplicação de Ureia, 631 , 655 , 674 , 950 , 988 , 920 ," 1,012 "," 1,131 "," 1,311 "," 1,320 "," 1,201 "," 1,291 "," 1,342 "," 1,808 "," 1,784 "," 1,878 "," 1,894 "," 2,260 "," 2,106 "," 2,094 "," 2,406 "," 2,835 "," 2,753 "," 3,159 "," 3,408 "," 2,932 "," 3,888 "
